PERMNO,date,TICKER,COMNAM,NAICS,CUSIP,PRC
59459,31/05/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,114.14
59459,30/06/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,119.04
59459,29/07/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,116.22
59459,31/08/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,118.71
59459,30/09/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,114.55
59459,31/10/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,108.18
59459,30/11/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,113.35
59459,30/12/2016,TRV,TRAVELERS COMPANIES INC,524126,8.94E+14,122.42
65875,30/12/2005,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,30.12
65875,31/01/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,31.66
65875,28/02/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,33.7
65875,31/03/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,34.06
65875,28/04/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,33.03
65875,31/05/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,31.21
65875,30/06/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,33.49
65875,31/07/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,33.82
65875,31/08/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,35.18
65875,29/09/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.13
65875,31/10/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37
65875,30/11/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,34.94
65875,29/12/2006,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.24
65875,31/01/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.52
65875,28/02/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.4
65875,30/03/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,37.92
65875,30/04/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.18
65875,31/05/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,43.53
65875,29/06/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,41.17
65875,31/07/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,42.62
65875,31/08/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,41.88
65875,28/09/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,44.28
65875,31/10/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,46.07
65875,30/11/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,43.21
65875,31/12/2007,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,43.69
65875,31/01/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.83
65875,29/02/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,36.32
65875,31/03/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,36.45
65875,30/04/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.48
65875,30/05/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,38.47
65875,30/06/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,35.4
65875,31/07/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,34.04
65875,29/08/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,35.12
65875,30/09/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,32.09
65875,31/10/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,29.67
65875,28/11/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,32.65
65875,31/12/2008,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,33.9
65875,30/01/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,29.87
65875,27/02/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,28.53
65875,31/03/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,30.2
65875,30/04/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,30.34
65875,29/05/2009,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,29.26
